                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1347,                 5.3612,                 2.4465,                0.74979,                0.11801,                0.18244,                0.04496,                 2.7224,                 12.414,                 2.1447,              9.999e-05,              9.999e-05,              9.999e-05
                      2,                 2.2807,                 2.3251,                 1.7097,                0.48411,                0.56003,                0.51002,                0.17641,                  2.279,                 4.2861,                 1.6639,             0.00020217,             0.00020217,             0.00020217
                      3,                 2.0639,                 1.6831,                 1.5093,                0.67377,                0.72375,                0.73646,                0.28809,                 2.0834,                 1.8458,                 1.4969,             0.00029715,             0.00029715,             0.00029715
                      4,                 1.9905,                 1.4049,                 1.4872,                0.69094,                0.80785,                0.78289,                0.28151,                 2.0956,                 1.7118,                 1.5009,             0.00038493,             0.00038493,             0.00038493
                      5,                 1.9471,                 1.2888,                 1.4318,                0.85374,                0.86746,                0.85103,                0.32192,                 2.1043,                 1.2834,                 1.5004,             0.00046552,             0.00046552,             0.00046552
                      6,                 1.9067,                 1.2733,                 1.4405,                0.82362,                0.80922,                0.83666,                0.32379,                 2.0802,                 1.1135,                 1.4849,              0.0005389,              0.0005389,              0.0005389
                      7,                 1.9202,                  1.239,                 1.3907,                0.86201,                0.87863,                0.87373,                 0.3393,                  2.062,                 1.0988,                 1.4692,             0.00060508,             0.00060508,             0.00060508
                      8,                 1.8506,                 1.1375,                 1.3692,                0.85954,                0.85545,                 0.8615,                 0.3468,                 2.0671,                  1.132,                 1.4784,             0.00066407,             0.00066407,             0.00066407
                      9,                  1.845,                 1.1579,                 1.3664,                0.78978,                0.87157,                0.86128,                0.34369,                 2.0903,                 1.0935,                 1.4716,             0.00066902,             0.00066902,             0.00066902
                     10,                 1.8472,                  1.131,                 1.3542,                0.82403,                0.82692,                0.83005,                0.34742,                 2.0592,                 1.1045,                 1.4612,             0.00066902,             0.00066902,             0.00066902
                     11,                 1.8206,                 1.0811,                 1.3518,                0.81408,                0.80973,                0.81908,                0.32232,                   2.09,                  1.156,                 1.5167,             0.00063903,             0.00063903,             0.00063903
                     12,                 1.8386,                 1.0787,                 1.3771,                0.87681,                 0.8841,                0.88488,                0.35669,                  2.057,                 1.0619,                 1.4761,             0.00060903,             0.00060903,             0.00060903
                     13,                 1.7906,                 1.0167,                 1.3343,                0.86882,                0.87739,                 0.8606,                0.35423,                 2.1305,                 1.0261,                 1.4942,             0.00057903,             0.00057903,             0.00057903
                     14,                 1.8024,                 1.0148,                 1.3507,                 0.8741,                0.85553,                0.85409,                0.33592,                 2.1385,                 1.0592,                 1.5048,             0.00054904,             0.00054904,             0.00054904
                     15,                 1.7804,                 1.0068,                 1.3461,                 0.8908,                0.87123,                0.87711,                0.36059,                 2.0659,                 1.0413,                  1.473,             0.00051904,             0.00051904,             0.00051904
                     16,                 1.7502,                0.99673,                 1.3327,                0.87042,                0.87695,                0.86322,                0.36496,                 2.0313,                 1.0279,                 1.4806,             0.00048904,             0.00048904,             0.00048904
                     17,                 1.7441,                 1.0011,                 1.3296,                0.84946,                0.89096,                 0.8794,                0.35271,                 2.1021,                 1.0021,                 1.4758,             0.00045904,             0.00045904,             0.00045904
                     18,                 1.7777,                0.98602,                 1.3194,                0.85321,                0.89096,                0.88855,                0.33913,                 2.1259,                0.99523,                 1.5001,             0.00042905,             0.00042905,             0.00042905
                     19,                 1.7288,                0.97354,                  1.334,                0.89319,                0.89096,                 0.8811,                0.34821,                  2.098,                 1.0103,                 1.4798,             0.00039905,             0.00039905,             0.00039905
                     20,                 1.6924,                0.97674,                 1.2883,                0.89245,                0.90934,                0.89952,                0.34948,                 2.0896,                  1.001,                 1.4615,             0.00036905,             0.00036905,             0.00036905
                     21,                 1.7829,                 1.0692,                 1.3784,                0.89441,                0.88833,                0.87586,                0.35068,                 2.0616,                 1.0077,                 1.4521,             0.00033906,             0.00033906,             0.00033906
                     22,                 1.7221,                0.96301,                   1.34,                 0.8515,                0.87828,                0.86135,                0.35959,                 2.0112,                 1.0286,                 1.4362,             0.00030906,             0.00030906,             0.00030906
                     23,                 1.6759,                0.93625,                 1.3102,                0.84256,                 0.8723,                0.84987,                0.34868,                 2.0152,                  1.047,                 1.4313,             0.00027906,             0.00027906,             0.00027906
                     24,                 1.6893,                0.94905,                 1.3138,                0.85059,                0.89692,                0.87129,                0.34775,                 2.0428,                 1.0461,                  1.478,             0.00024907,             0.00024907,             0.00024907
                     25,                 1.6359,                0.92589,                 1.3004,                0.84703,                0.90119,                0.87761,                0.34927,                 2.0321,                 1.0223,                 1.4595,             0.00021907,             0.00021907,             0.00021907
                     26,                 1.6297,                0.91662,                 1.2845,                0.88522,                0.91368,                0.90636,                0.35591,                 2.0575,                 1.0055,                 1.4477,             0.00018907,             0.00018907,             0.00018907
                     27,                 1.6384,                0.89947,                 1.2893,                 0.8825,                0.89642,                0.88947,                0.35929,                 2.0535,                 1.0081,                 1.4519,             0.00015907,             0.00015907,             0.00015907
                     28,                 1.6287,                0.88664,                 1.2826,                0.87546,                0.89642,                0.88466,                 0.3562,                 2.0592,                 1.0129,                  1.474,             0.00012908,             0.00012908,             0.00012908
                     29,                 1.6035,                0.88403,                 1.2719,                0.87414,                0.90263,                0.89074,                0.36191,                 2.0492,                 1.0256,                 1.4686,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                  1.608,                0.88225,                 1.2833,                 0.8777,                0.89021,                0.89213,                0.36104,                 2.0292,                 1.0299,                 1.4515,             6.9084e-05,             6.9084e-05,             6.9084e-05
